model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std
Dummy,0.8363888888888888,0.0005555555555555536,0.0,0.0,0.0,0.0,0.0,0.0,0.1636111111111111,0.0005555555555555536
LR_default,0.8541666666666666,0.00633430791721744,0.7135079365079365,0.0887163915832385,0.19521946979574098,0.031551798653614765,0.30316341610873504,0.03425358231011896,0.4656128557125611,0.01583485414785303
LR_balanced,0.7074999999999999,0.015330716362829577,0.3209128222592047,0.015106956279655621,0.7028103723018977,0.024418637995340123,0.44042035853671696,0.016560116500280556,0.462957020361417,0.016347617444554305
SVM_default,0.8502777777777778,0.0056519416526043705,0.7203889829976786,0.06594377826686967,0.13581051716644937,0.041819563402639925,0.22636238935836425,0.05999900198127558,0.4593846186045232,0.021270238034910256
SVM_balanced,0.7230555555555556,0.015995755609875546,0.33882059146667,0.017865872334924402,0.724931189337969,0.028411318056800874,0.4616552121319938,0.020968295743357745,0.45309079006928765,0.012540103839806482
DT_depth5,0.8572222222222221,0.0064190111157174405,0.6444470755480157,0.03844503212796677,0.28518035636679706,0.044748080822324,0.393518687643423,0.04453786681221919,0.44962751903135667,0.027493213614467268
RF_default,0.861111111111111,0.0047303851016462445,0.7340649001536097,0.042748585699442156,0.23940315804722584,0.034579122960722304,0.3592566475880867,0.03942587457724543,0.5136815308797279,0.033541094176898066
RF_balanced,0.8086111111111112,0.017019415202267085,0.4267157817328897,0.03556443387276535,0.4720121686223382,0.015512862973761744,0.44751253482942055,0.024178894903783884,0.47073172876775093,0.039853730970964674
XGB_default,0.8438888888888888,0.007837075544258797,0.5403670148393561,0.04006663757512976,0.3243082717658988,0.01613478979150097,0.40484112125018,0.01973079930471359,0.46620964409323096,0.033086812298448016
XGB_balanced,0.8152777777777779,0.010650160840378228,0.43865910074899694,0.026239150610781276,0.44994929740692446,0.026273134471157644,0.44360235941341947,0.020651749423199656,0.4592174844804237,0.025544504759871682
